,description,en,fr,pl,ru,es,it,ga,fil,de,tr,id,pt,jp
LANGUAGE_NAME,,English,Français,Polski,pУcckий,Español,Italiano,ＧＡＬＡＣＴＩＣ ＡＬＰＨＡＢＥＴ,Filipino,Deutsch,Türkçe,Indonesia,Português Brasileiro,にほんご
ACCENTS_USED,,n/a,é; è; ê; ç; à; î; ù; ï,ą; ę; ó; ś; ć; ń; ż; ź; ł,б; г; д; ё; ж; з; и; й; л; п; У; ф; ц; ч; ш; щ; ъ; ы; ь; э; ю; я,á; é; í; ó; ú,à; è; é; ì; ò; ,Ｎ/Ａ,n/a,"ä, ü, ö","ç, ş, ğ, ı, İ, ö, ü",n/a,"ç, á, é, í, ó, ú, à, â, ê, î, ô, ã, õ","に,ほ,ん,ご,あ,そ,ぶ,オ,プ,シ,ョ,ン,や,め,る,免,責,事,項,は,非,営,利,の,フ,ァ,ゲ,ー,ム,で,り,、,絶,対,販,売,し,て,な,ま,せ,。,リ,ジ,ナ,ル,公,式,代,替,品,と,機,能,す,も,を,通,じ,遊,こ,が,き,開,発,元,お,よ,び,関,連,べ,団,体,（,任,天,度,）,提,携,た,承,認,受,け,い,表,示,さ,れ,ソ,ス,正,用,目,的,変,形,適,熱,心,っ,作,成,へ,愛,情,ふ,ω,！,え,ら,マ,ペ,ャ,イ,ト,ニ,ッ,ポ,カ,タ,テ,モ,ド,チ,レ,ラ,く,つ,づ,か,ワ,ク,エ,キ,ノ,ピ,コ,メ,ュ,サ,ゅ,う,げ,ぞ,デ,ィ,グ,ど,ボ,ロ,パ,ウ,ブ,ケ,ダ,セ,ズ,ひ,ば,ち,む,　,ょ,ア,ェ,・,ず,ゴ,バ,ザ,ぎ,わ,ォ,：,ゾ,だ,み,ろ,ぼ,ツ,ね,ミ,「,」,ヤ,ざ,ゆ,ヒ,ヨ,ぜ,ぬ,ハ,ガ,ぷ,ネ,ベ,ビ,～"
TRANSLATOR(S),,JoeMama (me!),Makerk6,Cube,SlavaWOW,Speedymcfly,TRIPPE,ＪＯＥＭＡＭＡ (ＭＥ!),VannyArts,TheOliveOli,_Apostrophe,TBB,Chryss The Crystalball,EdwrinLb (Skopler)
MENU_PLAY_GAME,,Play Game,Commencer,Zacznij Grę,Игpatь,Jugar,Gioca,ＰＬＡＹ ＧＡＭＥ,Maglaro,Starten,Başla,Mainkan Game,Jogar,あそぶ
MENU_SETTINGS,,Settings,Paramètres,Ustawienia,hactpoйkи,Configuración,Opzioni,ＳＥＴＴＩＮＧＳ,Opsyon,Einstellungen,Ayarlar,Pengaturan,Configurações,オプション
MENU_QUIT_GAME,,Quit Game,Quitter,Wyjdź z Gry,bыйtи,Salir del Juego,Esci,ＱＵＩＴ ＧＡＭＥ,Umalis,Beenden,Oyundan Çık,Keluar Game,Sair,やめる
TITLE_DISCLAIMER,,Disclaimer,Clause de non-responsabilité,Ostrzeżenie,Диckлeйmep,Aviso,Avviso,ＤＩＳＣＬＡＩＭＥＲ,Pahintulot,Hinweis,Sorumluluk Reddİ,Peringatan,Aviso,免責事項
TITLE_DISCLAIM_1,dont sue ,"Super Mario Bros Remastered is a not-for-profit fangame, and should never ever be sold.

It does not serve as a substitute to playing any of the original games.

Super Mario Bros 1 and 2, can be played now on Nintendo Switch through Nintendo Switch Online.","""Super Mario Bros. Remastered"" est un jeu conçu par un fan, a un caractère non lucratif et ne devrait en aucun cas être revendu.

Il n'est pas destiné à remplacer les jeux originaux.

Super Mario Bros. 1 et 2, sont jouables sur Nintendo Switch via le Nintendo Switch Online","Super Mario Bros. Remastered jest bezprofitową grą fanową and nigdy nie powinna być sprzedawana.

Nie ma w celu zastąpić oryginalne gry.

Super Mario Bros. 1 oraz 2 można zagrać teraz na Nintendo Switch przez Nintendo Switch Online.","Super Mario Bros. Remastered - hekommepчeckaя фah-игpa, kotopaя hиkoгдa he дoлжha пpoдabatьcя. 

oha he cлУжиt aльtephatиboй hи oдhoй из kлaccичeckиx игp.

b Super Mario Bros 1 и 2, moжho cыгpatь ha Nintendo Switch чepeз Nintendo Switch Online.","Super Mario Bros Remastered es un fangame sin ánimo de lucro, y nunca jamás debería ponerse a la venta.

No sirve como un sustituto para jugar los juegos originales.

Super Mario Bros 1 y The Lost Levels ya se pueden jugar en Nintendo Switch a través de Nintendo Switch Online.","Super Mario Bros. Remastered è un fangame realizzato senza scopo di lucro, e non dovrebbe mai essere venduto.

Il suo scopo non è quello di sostituire nessuno dei giochi originali.

Super Mario Bros 1 e 2, possono essere giocati ora su Nintendo Switch tramite Nintendo Switch Online.","ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ ＲＥＭＡＳＴＥＲＥＤ ＩＳ Ａ ＮＯＴ-ＦＯＲ-ＰＲＯＦＩＴ ＦＡＮＧＡＭＥ, ＡＮＤ ＳＨＯＵＬＤ ＮＥＶＥＲ ＥＶＥＲ ＢＥ ＳＯＬＤ.

ＩＴ ＤＯＥＳ ＮＯＴ ＳＥＲＶＥ ＡＳ Ａ ＳＵＢＳＴＩＴＵＴＥ ＴＯ ＰＬＡＹＩＮＧ ＡＮＹ ＯＦ ＴＨＥ ＯＲＩＧＩＮＡＬ ＧＡＭＥＳ.

ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ 1 ＡＮＤ 2, ＣＡＮ ＢＥ ＰＬＡＹＥＤ ＮＯＷ ＯＮ ＮＩＮＴＥＮＤＯ ＳＷＩＴＣＨ ＴＨＲＯＵＧＨ ＮＩＮＴＥＮＤＯ ＳＷＩＴＣＨ ＯＮＬＩＮＥ.","Ang Super Mario Bros Remastered ay isang not-for-profit fangame, at hindi dapat pagkakitaan.

Hindi ito pamalit sa anumang original games na gawa ng Nintendo.

Ang Super Mario Bros 1 at sequel nito ay pwedeng laruing sa Nintendo Switch through Nintendo Switch Online.","Super Mario Bros. Remastered ist ein Nicht-Profit-Fangame, es soll nicht weiterverkauft werden.

Das Spiel dient nicht als Ersatz für die Originalspiele.

Super Mario Bros. 1 und 2 sind über Nintendo Switch Online spielbar.","Super Marİo Bros Remastered kar amacı olmayan bİr fangame'dİr ve asla satılmamalıdır.

Orİjİnal oyunlardan herhangİ bİrİnİ oynamanın yerİne geçmez.

Super Marİo Bros 1 ve 2, Nİntendo Swİtch Onlİne aracılığıyla şİmdİ Nİntendo Swİtch'te oynanabİlİr.","Super Mario Bros Remastered adalah fangame yang tidak dijual dan tidak akan dijual.
 
Remastered ini tidak dapat menggantikan game aslinya.

Super Mario Bros 1 dan 2 bisa dimainkan di Nintendo Switch melalui Nintendo Switch Online.","Super Mario Bros Remastered é uma fangame não-paga, e nunca deve ser vendida","Super Mario Bros. Remasteredは非営利のファンゲームであり、絶対に販売してはなりません。

オリジナルの公式ゲームの代替品として機能するものではありません。

Nintendo Switch Onlineを通じて、Nintendo SwitchでSuper Mario Bros. 1とSuper Mario Bros. 2を遊ぶことができます。"
TITLE_DISCLAIM_2,"please, DO NOT SUE","Super Mario Bros Remastered. Its developer, and all related entities are not affiliated with or endorsed by Nintendo. Resources which appear in this game are used for the purpose of fair use, with transformative applications being applied.

This game merely serves as a love letter to the original game, made by a passionate fan :)","Le développeur de ""Super Mario Bros. Remastered"" et toutes les entités connexes ne sont pas affiliés ou approuvés par Nintendo. Les ressources qui apparaissent dans ce jeu sont utilisées à des fins d’utilisation équitable, avec des applications transformatrices.

Ce jeu sert simplement de lettre d’amour au jeu original, faite par un fan passionné :)","Super Mario Bros. Remastered, jego twórca oraz wszystkie powiązane podmioty nie są powiązani ani wspierani przez Nintendo. Zasoby używane w grze są wykorzystywane w celach niekomercyjnych, z wprowadzonymi transformacyjnymi zmianami.

Ta gra ma jedynie służyć jako list miłosny do oryginalnej gry, stworzony przez pasjonującego się fana :)","paзpaбotчиk Super Mario Bros Remastered. и cbязahhыe c hиm opгahизaции he иmeюt hиkakoгo othoшehия c Nintendo. pecУpcы b игpe иcпoльзУюtcя b kaчectbe ""дoбpocobecthoгo иcпoльзobahия"" c пpиmehehиem texhoлoгий пpeoбpaзobahия.


Эta игpa пpocto cлУжиt любobhыm пиcьmom k opигиhaльhoй игpe, cдeлahhыm ctpacthыm фahatom :)","Super Mario Bros Remastered. Su desarrollador y todas las entidades relacionadas no están afiliadas ni respaldadas por Nintendo. Los recursos que aparecen en este juego se utilizan para el uso libre (Fair Use), aplicándose aplicaciones transformativas.

Este juego sirve meramente como una carta de amor al juego original, hecho por un fan apasionado :)","Super Mario Bros. Remastered, il suo sviluppatore, e tutte le entità associate NON sono affiliate a Nintendo. Le risorse presenti nel gioco sono state utilizzate nel rispetto del fair use.

Questo gioco serve semplicemente come una lettera d'amore al gioco originale, fatta da un fan appassioanto :)","ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ ＲＥＭＡＳＴＥＲＥＤ. ＩＴＳ ＤＥＶＥＬＯＰＥＲ, ＡＮＤ ＡＬＬ ＲＥＬＡＴＥＤ ＥＮＴＩＴＩＥＳ ＡＲＥ ＮＯＴ ＡＦＦＩＬＩＡＴＥＤ ＷＩＴＨ ＯＲ ＥＮＤＯＲＳＥＤ ＢＹ ＮＩＮＴＥＮＤＯ. ＲＥＳＯＵＲＣＥＳ ＷＨＩＣＨ ＡＰＰＥＡＲ ＩＮ ＴＨＩＳ ＧＡＭＥ ＡＲＥ ＵＳＥＤ ＦＯＲ ＴＨＥ ＰＵＲＰＯＳＥ ＯＦ ＦＡＩＲ ＵＳＥ, ＷＩＴＨ ＴＲＡＮＳＦＯＲＭＡＴＩＶＥ ＡＰＰＬＩＣＡＴＩＯＮＳ ＢＥＩＮＧ ＡＰＰＬＩＥＤ.

ＴＨＩＳ ＧＡＭＥ ＭＥＲＥＬＹ ＳＥＲＶＥＳ ＡＳ Ａ ＬＯＶＥ ＬＥＴＴＥＲ ＴＯ ＴＨＥ ＯＲＩＧＩＮＡＬ ＧＡＭＥ, ＭＡＤＥ ＢＹ Ａ ＰＡＳＳＩＯＮＡＴＥ ＦＡＮ :)","Ang Super Mario Bros Remastered. Ang developer nito, at ang lahat ng tumulong dito ay hindi affiliated with or endorsed ng Nintendo. Ang mga resources na ginamit sa game na ito ay for the purpose of fair use, at dinagdagan ng transformative applications.

Ginawa ang game na to as love letter sa original game ng isang passionate fan :)","Super Mario Bros. Remastered, der Entwickler, und alle weiteren Beteiligten haben keinerlei Verbindung zu Nintendo. Die Benutzung der in diesem Spiel vorkommenden Ressourcen gilt als faire Nutzung (Fair Use) und falls nötig, wird mit Veränderungen angewendet.

Dieses Spiel dient als Liebesbrief für das Original, von einem begeisterten Fan :)","Super Marİo Bros Remastered. Gelİştİrİcİsİ ve İlgİlİ tüm kuruluşlar Nİntendo'ya bağlı değİldİr veya Nİntendo tarafından desteklenmemektedİr. Bu oyunda görünen kaynaklar, dönüştürücü uygulamalar uygulanarak adİl kullanım amacıyla kullanılmıştır.

Bu oyun sadece Nİntendo tarafından yapılan orİjİnal oyuna bİr teşekkür mektubu olarak hİzmet vermektedİr :)","Super Mario Bros Remastered. Pengembangnya, dan semua entitas terkait, tidak berafiliasi atau didukung oleh Nintendo. Sumber daya yang muncul dalam game ini digunakan untuk tujuan penggunaan wajar, dengan aplikasi transformatif yang diterapkan.

Game ini hanyalah sebuah surat cinta untuk game aslinya, yang dibuat oleh seorang penggemar berat :)","Super Mario Bros Remastered. Seu criador, e todas suas entidades não são afiliadas ou endossadas com a Nintendo. Recursos nos quais aparecem nesse jogo são usados para o propósito de serem usados justamente, com aplicações transformadoras sendo aplicadas.","Super Mario Bros. Remastered、このゲームの開発元および関連するすべての団体は、Nintendo（任天度）と提携または承認を受けていません。このゲームに表示されるリソースは、公正な利用の目的で、変形的な利用が適用されています。

このゲームは、熱心なファンによって作成された、オリジナルゲームへの愛情あふれる作品です。(^ω^)"
TITLE_DISCLAIM_3,,Enjoy!,Profitez bien !,Miłej gry!,hacлaждaйtecь!,Disfrute!,Buon divertimento!,ＥＮＪＯＹ!,Enjoy!,Viel Spass!,Keyfİnİ Çıkar!,Selamat Menikmati!,Aproveite!,たのしんで！
